,covariance,beta1,beta2,p,pca_coef,mismeasured_coef,mismeasured_allvar_coef,mismeasured_avg_coef,true_val_coef,pca_ape,mismeasured_coef_ape,mismeasured_allvar_coef_ape,mismeasured_avg_coef_ape
300,0.0,10.0,100.0,5,9.454900978034978,9.61023517387772,9.271917835889978,9.32869634333195,9.994997391222647,0.05450990219650222,0.03897648261222795,0.07280821641100221,0.06713036566680497
301,0.0,10.0,100.0,10,9.660249031694898,9.228559180561593,9.932113331269798,9.760548556917252,10.008039832164252,0.03397509683051023,0.0771440819438407,0.006788666873020155,0.023945144308274813
302,0.0,10.0,100.0,20,10.174858893213568,10.203675094357298,9.986941913593503,10.145742308308844,10.007892109303306,0.01748588932135675,0.020367509435729757,0.0013058086406497083,0.01457423083088436
303,0.0,10.0,100.0,50,10.029752207575818,9.491604941815545,10.249710824325625,9.965254284016062,9.994457942698785,0.002975220757581809,0.05083950581844547,0.0249710824325625,0.0034745715983937942
304,0.0,100.0,0.1,5,99.99383327581633,99.99468553701092,99.99429760845261,99.99380252570137,99.99564575026807,6.16672418367159e-05,5.3144629890766734e-05,5.702391547387719e-05,6.197474298630823e-05
305,0.0,100.0,0.1,10,99.99779699924426,99.99748696578044,99.99971461454598,99.99762750107737,99.99804506779843,2.2030007557418684e-05,2.51303421956095e-05,2.8538545402057025e-06,2.3724989226252547e-05
306,0.0,100.0,0.1,20,100.00025035831753,99.99899296030082,100.00564473075421,100.00016110203941,100.0004787409329,2.5035831752973083e-06,1.0070396991750385e-05,5.644730754212901e-05,1.6110203941366308e-06
307,0.0,100.0,0.1,50,100.01751389297698,100.01635812597587,99.99606982029275,100.0175307809785,100.01748993175542,0.00017513892976978696,0.00016358125975870052,3.930179707253956e-05,0.00017530780978503913
308,0.0,100.0,1.0,5,99.98447450977613,99.97666022612535,99.98654616870999,99.98441535970765,99.98520146713587,0.0001552549022386529,0.00023339773874653247,0.00013453831290007655,0.00015584640292345853
309,0.0,100.0,1.0,10,100.0106218471662,100.01033994154209,100.01653026649547,100.01277445573504,100.01234649519914,0.00010621847166206066,0.00010339941542085285,0.00016530266495465184,0.00012774455735041102
310,0.0,100.0,1.0,20,100.00113119159052,99.9996280648071,100.00209668621554,100.00084139131363,100.00317856321965,1.131191590516778e-05,3.7193519290212863e-06,2.096686215537602e-05,8.41391313628037e-06
311,0.0,100.0,1.0,50,99.98894029938563,100.0135726732307,100.0031952485266,99.98951445265251,99.98781616663784,0.00011059700614367785,0.00013572673230697775,3.195248526594696e-05,0.00010485547347485635
312,0.0,100.0,10.0,5,99.99245370356856,100.03822674010048,99.99702575909402,99.99344875775131,100.0051632536833,7.546296431442556e-05,0.0003822674010048388,2.9742409059849704e-05,6.551242248690414e-05
313,0.0,100.0,10.0,10,99.99562977286793,99.90247505159881,99.97736785330846,99.97859057812256,100.00024593963116,4.3702271320711364e-05,0.0009752494840118686,0.00022632146691535128,0.0002140942187743633
314,0.0,100.0,10.0,20,99.98958313270435,99.99414032188868,99.9893506505332,99.99831912016165,100.00240141813474,0.00010416867295646171,5.859678111320932e-05,0.0001064934946680296,1.6808798383465275e-05
315,0.0,100.0,10.0,50,99.98844561007257,99.90630440793295,99.9656871547074,99.99856131455311,100.0016167435914,0.00011554389927425745,0.0009369559206704992,0.0003431284529260381,1.4386854468853016e-05
316,0.0,100.0,100.0,5,99.9287449600184,99.3133049941062,99.86763700288014,99.83532027515537,100.01217308858368,0.0007125503998159388,0.00686695005893796,0.0013236299711985567,0.0016467972484463188
317,0.0,100.0,100.0,10,100.31175753799172,100.36213024058294,100.4642236174691,100.45792313517855,100.00856297641229,0.0031175753799172414,0.003621302405829425,0.004642236174691021,0.004579231351785467
318,0.0,100.0,100.0,20,100.30348846153112,99.69629749135348,100.04397204381034,100.12086153789525,99.9947798453682,0.003034884615311171,0.0030370250864652348,0.00043972043810342143,0.0012086153789525155
319,0.0,100.0,100.0,50,100.03222802984824,99.09280141967746,100.1102132779756,99.98086856806722,99.99036347368605,0.00032228029848241135,0.00907198580322543,0.0011021327797560332,0.0001913143193277733
320,0.25,0.1,0.1,5,0.10345110386754625,0.1097513896213549,0.09909129769997835,0.10243447563858978,0.09769811942132609,0.0345110386754624,0.09751389621354897,0.009087023000216576,0.024344756385897698
321,0.25,0.1,0.1,10,0.10562231993926048,0.11695847090925796,0.10953569674165774,0.10579867726515749,0.1034278196832956,0.056223199392604756,0.1695847090925795,0.09535696741657732,0.057986772651574814
322,0.25,0.1,0.1,20,0.08823478896752214,0.09793761877121762,0.08608826311845232,0.08769383165981398,0.08587490062692268,0.11765211032477865,0.02062381228782384,0.1391173688154769,0.12306168340186024
323,0.25,0.1,0.1,50,0.10133670871577508,0.11243345266839269,0.10181488771414889,0.10084460779282056,0.10004650624859864,0.013367087157750701,0.12433452668392686,0.0181488771414888,0.008446077928205564
324,0.25,0.1,1.0,5,0.1512258780515208,0.24224551674568656,0.14722041396418173,0.14879052373162135,0.10220008679583956,0.5122587805152079,1.4224551674568655,0.47220413964181723,0.4879052373162135
325,0.25,0.1,1.0,10,0.13672361188442997,0.24757999962241642,0.13699196652854834,0.13487989432258604,0.11031931263072182,0.36723611884429963,1.4757999962241641,0.3699196652854833,0.34879894322586036
326,0.25,0.1,1.0,20,0.12486811492062282,0.24162771486297355,0.12328139580522184,0.12192627688365426,0.1133573285708845,0.2486811492062281,1.4162771486297354,0.2328139580522183,0.21926276883654255
327,0.25,0.1,1.0,50,0.10101544139176526,0.2216744646739555,0.10543601054771955,0.09781188236715986,0.0936177397980056,0.01015441391765251,1.2167446467395548,0.054360105477195414,0.021881176328401447
328,0.25,0.1,10.0,5,0.6251203096268338,1.3925224942765542,0.5890078139235813,0.5962303123903077,0.09177555591146143,5.2512030962683385,12.92522494276554,4.890078139235812,4.962303123903077
329,0.25,0.1,10.0,10,0.3583417218427993,1.3555391455138612,0.3322462339081895,0.33539650066588655,0.09740174363338157,2.5834172184279924,12.555391455138611,2.3224623390818953,2.3539650066588655
330,0.25,0.1,10.0,20,0.30824373386266046,1.4430095338012925,0.262138861904432,0.2629988469230156,0.11195996266556295,2.0824373386266046,13.430095338012924,1.6213886190443196,1.629988469230156
331,0.25,0.1,10.0,50,0.19044752046584612,1.4908336200548464,0.16218959574392,0.14775711911644737,0.09952017063096509,0.9044752046584611,13.908336200548463,0.6218959574391999,0.47757119116447366
332,0.25,0.1,100.0,5,5.510015731243752,13.971862166477964,5.275128075527037,5.243132143503387,0.10318117220258521,54.10015731243752,138.71862166477962,51.751280755270365,51.43132143503387
333,0.25,0.1,100.0,10,2.2056373601886823,11.898780973822324,2.0869975789606934,1.99361584321968,0.11184719830767592,21.056373601886822,117.98780973822325,19.869975789606933,18.936158432196798
334,0.25,0.1,100.0,20,1.6472562050871027,12.342574029407333,1.4105487084590964,1.4851321191890026,0.08861120781037643,15.472562050871025,122.42574029407332,13.105487084590962,13.851321191890024
335,0.25,0.1,100.0,50,0.7543696154293997,13.115749558423447,0.3573010980612038,0.4982536675816342,0.08723651740884002,6.543696154293997,130.15749558423445,2.5730109806120383,3.9825366758163416
336,0.25,1.0,0.1,5,1.014033846852371,1.0253039330733626,1.0164112952441084,1.014066568132038,1.0086491283795593,0.014033846852371079,0.02530393307336265,0.016411295244108448,0.014066568132037993
337,0.25,1.0,0.1,10,1.009542233572675,1.0204997464876207,1.008356564638235,1.008917616646074,1.0072361631100426,0.009542233572674919,0.02049974648762065,0.008356564638235087,0.008917616646074045
338,0.25,1.0,0.1,20,1.0185712256525763,1.0302397066082867,1.0183949204927365,1.0183622657825928,1.0182625765549425,0.018571225652576295,0.030239706608286676,0.0183949204927365,0.018362265782592813
339,0.25,1.0,0.1,50,0.9909309627830817,1.0044412132242067,0.9751905721422287,0.9901954572909117,0.9904925873466547,0.009069037216918319,0.004441213224206653,0.024809427857771293,0.00980454270908826
340,0.25,1.0,1.0,5,1.039926822826911,1.1246811047696452,1.0361037233623038,1.0375226355620182,0.9962980414159174,0.03992682282691096,0.12468110476964522,0.03610372336230383,0.03752263556201818
341,0.25,1.0,1.0,10,1.0116517737762591,1.1191251549986654,1.0127210376246643,1.0091822416607572,0.9924244623618474,0.011651773776259144,0.11912515499866538,0.012721037624664255,0.009182241660757207
342,0.25,1.0,1.0,20,1.0245353861322872,1.1417065458169062,1.0074650132718168,1.021660701613627,1.0091968763074697,0.02453538613228723,0.14170654581690623,0.007465013271816812,0.021660701613626987
343,0.25,1.0,1.0,50,1.0049289484881418,1.1206780708179247,0.9856894779921384,1.0031256865918328,0.9963671838698513,0.004928948488141849,0.1206780708179247,0.014310522007861648,0.003125686591832766
