economy,series,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALB,NY.GNP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,730.0,730.0,760.0,650.0,410.0,280.0,320.0,380.0,640.0,890.0,800.0,860.0,950.0,1100.0,1280.0,1370.0,1650.0,2100.0,2620.0,3050.0,3460.0,4030.0,4280.0,4360.0,4410.0,4360.0,4540.0,4540.0,4390.0,4320.0,4290.0,4860.0,5220.0,
ALB,NY.GNP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2550.0,1880.0,1740.0,2110.0,2300.0,2710.0,3050.0,2780.0,3110.0,3550.0,3980.0,4460.0,4800.0,5150.0,5560.0,5990.0,6750.0,7480.0,8260.0,8680.0,9540.0,10210.0,10450.0,10750.0,11360.0,11800.0,12280.0,12850.0,13960.0,14450.0,
ALB,SH.XPD.GHED.CH.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2429657,38.57481003,37.47493744,37.80501175,41.64583206,42.06929779,42.58932877,38.55909348,44.19590378,50.80281067,50.12300491,49.33045959,48.56695938,47.86376953,47.12691498,55.78379059,57.0320549,53.3665657,53.9937973,,
ALB,SI.POV.DDAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,,,,1.6,,,0.9,,,0.3,,,,0.8,,1.6,1.1,0.9,1.3,,,
ALB,SI.POV.GAPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,0.3,,,0.1,,,0.1,,,,0.2,,0.2,0.1,0.1,0.2,,,
ALB,SI.POV.NAHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.4,,,18.5,,,12.4,,,,14.3,,,,,,,,
ALB,SI.SPR.PC40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,4.19,,,
ALB,SI.SPR.PCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,,8.61,,,
ALB,SL.GDP.PCAP.EM.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9042.02173684401,8396.68024925579,9466.97239774129,10518.471416398,12324.6188951804,13624.3493014596,11870.7194112422,13093.3927160851,15085.1527752004,16291.2301132812,17953.2403043496,18880.8202468479,20121.6401469944,21433.6546643519,22845.6331618107,24352.0249497247,26010.3904523294,27308.8167771125,28607.5452190164,29823.1628352099,27142.9908368293,28699.8127927144,31822.3725135441,32943.1981286885,31816.9649870691,31548.6466407656,31689.9629617675,31204.293763832,31108.4079177538,
ALB,SP.DYN.LE00.IN,62.283,63.301,64.19,64.914,65.463,65.85,66.11,66.304,66.487,66.689,66.935,67.237,67.582,67.953,68.343,68.736,69.11,69.448,69.742,69.991,70.208,70.416,70.635,70.876,71.134,71.388,71.605,71.76,71.843,71.86,71.836,71.803,71.802,71.86,71.992,72.205,72.495,72.838,73.208,73.587,73.955,74.288,74.579,74.828,75.039,75.228,75.423,75.646,75.912,76.221,76.562,76.914,77.252,77.554,77.813,78.025,78.194,78.333,78.458,78.573,
AND,FI.RES.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
